"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"89UKRUUZ","presentation","2025","Elting, Steffen; Ehmke, Jan Fabian; Gansterer, Margaretha","Questioning the privacy assumption: The risk of unintended information leakage in auction-based carrier collaboration","","","","","or2025.de","","2025-09","2025-09-12 15:28:16","2025-09-12 15:31:47","","","","","","","","","","","","","","Bielefeld, Germany","","","","","","","","Citation Key: elting2025 Place: Bielefeld, Germany tex.howpublished: OR 2025, 2-5 September 2025","On-site presentation","","","","","","","","Ehmke, Jan Fabian; Gansterer, Margaretha","","","","","","","","","","","","","","","","","","","","","","","","","","OR 2025","","","","","","","","","","","","","","","",""
"7LDRGT5K","presentation","2024","Elting, Steffen; Ehmke, Jan Fabian; Gansterer, Margaretha","Preference learning for efficient bundle selection in horizontal transport collaborations","","","","","","","2024-10","2025-09-12 15:28:16","2025-09-12 15:32:23","","","","","","","","","","","","","","Seattle","","","","","","","","Citation Key: elting2024a Place: Seattle, United States tex.howpublished: INFORMS Annual Meeting 2024, 20-23 October 2024","Oral presentation","","","","","","","","Ehmke, Jan Fabian; Gansterer, Margaretha","","","","","","","","","","","","","","","","","","","","","","","","","","INFORMS Annual Meeting 2024","","","","","","","","","","","","","","","",""
"MT74HG5W","presentation","2024","Elting, Steffen; Ehmke, Jan Fabian; Gansterer, Margaretha","Query-based bundle selection in horizontal transport collaborations","","","","","","","2024-06","2025-09-12 15:28:16","2025-09-12 15:32:53","","","","","","","","","","","","","","Mannheim, Germany","","","","","","","","Citation Key: elting2024b Place: Mannheim, Germany tex.howpublished: Last Mile Delivery Workshop 2024, 10-11 June 2024","On-site presentation","","","","","","","","Ehmke, Jan Fabian; Gansterer, Margaretha","","","","","","","","","","","","","","","","","","","","","","","","","","Last Mile Delivery Workshop 2024","","","","","","","","","","","","","","","",""
"UNZZ4I8K","presentation","2023","Elting, Steffen; Ehmke, Jan Fabian; Gansterer, Margaretha","Effective auction-based request exchange for attended home deliveries","","","","","","","2023-07","2025-09-12 15:28:16","2025-09-12 15:33:23","","","","","","","","","","","","","","Chicago, Illinois, United States","","","","","","","","Citation Key: elting2023a Place: Chicago, Illinois, United States tex.howpublished: INFORMS Transportation Science and Logistics Society Triennial Conference, 23-26 July 2023","Oral presentation","","","","","","","","Ehmke, Jan Fabian; Gansterer, Margaretha","","","","","","","","","","","","","","","","","","","","","","","","","","INFORMS Transportation Science and Logistics Society Triennial Conference","","","","","","","","","","","","","","","",""
"PLDCADF8","presentation","2023","Elting, Steffen; Ehmke, Jan Fabian; Gansterer, Margaretha","Efficient bundle generation for collaborative attended home deliveries","","","","","","","2023-06","2025-09-12 15:28:16","2025-09-12 15:33:46","","","","","","","","","","","","","","Frankfurt, Hesse, Germany","","","","","","","","Citation Key: elting2023b Place: Frankfurt, Hesse, Germany tex.howpublished: Last Mile Delivery Workshop 2023, 19-20 June 2023","On-site presentation","","","","","","","","Ehmke, Jan Fabian; Gansterer, Margaretha","","","","","","","","","","","","","","","","","","","","","","","","","","Last Mile Delivery Workshop 2023","","","","","","","","","","","","","","","",""
"CM39Q244","presentation","2022","Elting, Steffen; Ehmke, Jan Fabian; Gansterer, Margaretha","Collaborative transportation for attended home deliveries","","","","","","","2022-07","2025-09-12 15:28:16","2025-09-12 15:34:05","","","","","","","","","","","","","","Espoo, Finland","","","","","","","","Citation Key: elting2022a Place: Espoo, Finland tex.howpublished: EURO 2022, 3-6 July 2022","Oral presentation","","","","","","","","Ehmke, Jan Fabian; Gansterer, Margaretha","","","","","","","","","","","","","","","","","","","","","","","","","","EURO 2022","","","","","","","","","","","","","","","",""
"MDKSTXR4","presentation","2022","Elting, Steffen; Ehmke, Jan Fabian; Gansterer, Margaretha","Collaborative transportation for attended home delivery","","","","","","","2022-06","2025-09-12 15:28:16","2025-09-12 15:34:24","","","","","","","","","","","","","","Vallendar, Rhineland-Palatinate, Germany","","","","","","","","Citation Key: elting2022b Place: Vallendar, Rhineland-Palatinate, Germany tex.howpublished: Last Mile Delivery Workshop 2022, 27-28 June 2022","On-site presentation","","","","","","","","Ehmke, Jan Fabian; Gansterer, Margaretha","","","","","","","","","","","","","","","","","","","","","","","","","","Last Mile Delivery Workshop 2022","","","","","","","","","","","","","","","",""
"6SUZEDZI","presentation","2022","Elting, Steffen; Ehmke, Jan Fabian; Gansterer, Margaretha","Collaborative transportation for attended home deliveries","","","","","","","2022-06","2025-09-12 15:28:16","2025-09-12 15:35:48","","","","","","","","","","","","","","Hamburg, Hamburg, Germany","","","","","","","","Citation Key: elting2022c Place: Hamburg, Hamburg, Germany tex.howpublished: VeRoLog 2022 conference, 12-15 June 2022","Oral presentation","","","","","","","","Ehmke, Jan Fabian; Gansterer, Margaretha","","","","","","","","","","","","","","","","","","","","","","","","","","VeRoLog 2022","","","","","","","","","","","","","","","",""
"4VB23QEQ","presentation","2021","Elting, Steffen; Ehmke, Jan Fabian; Gansterer, Margaretha","Collaborative transportation for attended home delivery","","","","","","","2021-07","2025-09-12 15:28:16","2025-09-12 15:35:03","","","","","","","","","","","","","","Netherlands","","","","","","","","Citation Key: elting2021 Place: Netherlands tex.howpublished: TSL Workshop 2021, 19-20 July 2021","Oral presentation","","","","","","","","Ehmke, Jan Fabian; Gansterer, Margaretha","","","","","","","","","","","","","","","","","","","","","","","","","","TSL Workshop 2021","","","","","","","","","","","","","","","",""
"4GHXS4U4","presentation","2020","Elting, Steffen; Ehmke, Jan Fabian","Potential of shared taxi services in rural areas – a case study","","","","","","","2020-09","2025-09-12 15:28:16","2025-09-12 15:35:25","","","","","","","","","","","","","","Online (Paphos, Cyprus)","","","","","","","","Citation Key: elting2020 Place: Paphos, Cyprus tex.howpublished: 23rd Euro Working Group on Transportation Meeting, 16-18 September 2020","Online Talk","","","","","","","","Ehmke, Jan Fabian","","","","","","","","","","","","","","","","","","","","","","","","","","23rd Euro Working Group on Transportation Meeting","","","","","","","","","","","","","","","",""
